type,size,duration,sorted
sequential,1000,0,true
parallel,1000,0.000999928,true
sequential,1100,0,true
parallel,1100,0,true
sequential,1200,0,true
parallel,1200,0,true
sequential,1300,0.000999928,true
parallel,1300,0.00100017,true
sequential,1400,0,true
parallel,1400,0.000999928,true
sequential,1500,0.000999928,true
parallel,1500,0.00199986,true
sequential,1600,0,true
parallel,1600,0.00600004,true
sequential,1700,0,true
parallel,1700,0.00899982,true
sequential,1800,0.000999928,true
parallel,1800,0.000999928,true
sequential,1900,0.00100017,true
parallel,1900,0.000999928,true
sequential,2000,0,true
parallel,2000,0,true
sequential,2100,0,true
parallel,2100,0.013,true
sequential,2200,0,true
parallel,2200,0.000999928,true
sequential,2300,0,true
parallel,2300,0.000999928,true
sequential,2400,0.000999928,true
parallel,2400,0.00100017,true
sequential,2500,0,true
parallel,2500,0,true
sequential,2600,0,true
parallel,2600,0.000999928,true
sequential,2700,0.00100017,true
parallel,2700,0.000999928,true
sequential,2800,0,true
parallel,2800,0.000999928,true
sequential,2900,0.000999928,true
parallel,2900,0.000999928,true
sequential,3000,0,true
parallel,3000,0.00100017,true
sequential,3100,0.000999928,true
parallel,3100,0.00100017,true
sequential,3200,0,true
parallel,3200,0,true
sequential,3300,0,true
parallel,3300,0.000999928,true
sequential,3400,0,true
parallel,3400,0.000999928,true
sequential,3500,0,true
parallel,3500,0.000999928,true
sequential,3600,0.000999928,true
parallel,3600,0.00200009,true
sequential,3700,0,true
parallel,3700,0.000999928,true
sequential,3800,0,true
parallel,3800,0.00100017,true
sequential,3900,0.000999928,true
parallel,3900,0,true
sequential,4000,0.000999928,true
parallel,4000,0.000999928,true
sequential,4100,0,true
parallel,4100,0.00300002,true
sequential,4200,0.000999928,true
parallel,4200,0.00100017,true
sequential,4300,0.000999928,true
parallel,4300,0.000999928,true
sequential,4400,0,true
parallel,4400,0.00100017,true
sequential,4500,0.000999928,true
parallel,4500,0.000999928,true
sequential,4600,0.000999928,true
parallel,4600,0.000999928,true
sequential,4700,0,true
parallel,4700,0.000999928,true
sequential,4800,0,true
parallel,4800,0,true
sequential,4900,0,true
parallel,4900,0.000999928,true
sequential,5000,0,true
parallel,5000,0.00100017,true
sequential,5100,0,true
parallel,5100,0.000999928,true
sequential,5200,0,true
parallel,5200,0.000999928,true
sequential,5300,0.000999928,true
